Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold
57,Postgraduate,Alone,58138.00,1617.00,25.33,No child,No child,635.00,88.00,546.00,172.00,88.00,88.00
60,Postgraduate,Alone,46344.00,27.00,7.00,Has child,2 children,11.00,1.00,6.00,2.00,1.00,6.00
49,Postgraduate,In couple,71613.00,776.00,13.63,No child,No child,426.00,49.00,127.00,111.00,21.00,42.00
30,Postgraduate,In couple,26646.00,53.00,7.87,Has child,1 child,11.00,4.00,20.00,10.00,3.00,5.00
33,Postgraduate,In couple,58293.00,422.00,8.60,Has child,1 child,173.00,43.00,118.00,46.00,27.00,15.00
47,Postgraduate,In couple,62513.00,716.00,13.00,Has child,1 child,520.00,42.00,98.00,0.00,42.00,14.00
43,Postgraduate,Alone,55635.00,590.00,23.00,Has child,1 child,235.00,65.00,164.00,50.00,49.00,27.00
29,Postgraduate,In couple,33454.00,169.00,17.13,Has child,1 child,76.00,10.00,56.00,3.00,1.00,23.00
40,Postgraduate,In couple,30351.00,46.00,16.17,Has child,1 child,14.00,0.00,24.00,3.00,3.00,2.00
64,Postgraduate,In couple,5648.00,49.00,6.83,Has child,2 children,28.00,0.00,6.00,1.00,1.00,13.00
38,Undergraduate,In couple,7500.00,61.00,23.00,No child,No child,6.00,16.00,11.00,11.00,1.00,16.00
55,Postgraduate,Alone,63033.00,1102.00,10.77,No child,No child,194.00,61.00,480.00,225.00,112.00,30.00
62,Postgraduate,Alone,59354.00,310.00,10.77,Has child,2 children,233.00,2.00,53.00,3.00,5.00,14.00
27,Postgraduate,In couple,17323.00,46.00,24.13,No child,No child,3.00,14.00,17.00,6.00,1.00,5.00
68,Postgraduate,Alone,82800.00,1315.00,22.63,No child,No child,1006.00,22.00,115.00,59.00,68.00,45.00
34,Postgraduate,In couple,41850.00,96.00,21.63,Has child,2 children,53.00,5.00,19.00,2.00,13.00,4.00
68,Postgraduate,In couple,37760.00,317.00,25.47,No child,No child,84.00,5.00,38.00,150.00,12.00,28.00
65,Postgraduate,In couple,76995.00,1782.00,18.50,Has child,1 child,1012.00,80.00,498.00,0.00,16.00,176.00
29,Undergraduate,Alone,33812.00,133.00,23.33,Has child,1 child,4.00,17.00,19.00,30.00,24.00,39.00
32,Postgraduate,In couple,37040.00,316.00,26.23,No child,No child,86.00,2.00,73.00,69.00,38.00,48.00
35,Postgraduate,In couple,2447.00,1730.00,21.20,Has child,1 child,1.00,1.00,1725.00,1.00,1.00,1.00
65,Postgraduate,In couple,58607.00,972.00,21.67,Has child,1 child,867.00,0.00,86.00,0.00,0.00,19.00
60,Postgraduate,In couple,65324.00,544.00,8.87,Has child,1 child,384.00,0.00,102.00,21.00,32.00,5.00
63,Postgraduate,In couple,40689.00,444.00,18.83,Has child,1 child,270.00,3.00,27.00,39.00,6.00,99.00
45,Postgraduate,Alone,18589.00,75.00,21.33,No child,No child,6.00,4.00,25.00,15.00,12.00,13.00
38,Postgraduate,In couple,53359.00,257.00,16.50,Has child,2 children,173.00,4.00,30.00,3.00,6.00,41.00
25,Postgraduate,In couple,38360.00,131.00,16.37,Has child,1 child,36.00,2.00,42.00,20.00,21.00,10.00
49,Postgraduate,In couple,84618.00,1672.00,10.53,No child,No child,684.00,100.00,801.00,21.00,66.00,0.00
25,Postgraduate,Alone,10979.00,30.00,4.50,No child,No child,8.00,4.00,10.00,2.00,2.00,4.00
51,Postgraduate,In couple,38620.00,318.00,17.03,No child,No child,112.00,17.00,44.00,34.00,22.00,89.00
44,Postgraduate,In couple,40548.00,120.00,24.13,Has child,1 child,110.00,0.00,5.00,2.00,0.00,3.00
62,Postgraduate,Alone,46610.00,302.00,23.50,Has child,2 children,96.00,12.00,96.00,33.00,22.00,43.00
68,Postgraduate,In couple,68657.00,1196.00,19.70,No child,No child,482.00,34.00,471.00,119.00,68.00,22.00
63,Postgraduate,Alone,49389.00,65.00,13.37,Has child,2 children,40.00,0.00,19.00,2.00,1.00,3.00
44,Postgraduate,In couple,67353.00,913.00,9.23,Has child,1 child,702.00,17.00,151.00,0.00,8.00,35.00
38,Undergraduate,In couple,23718.00,81.00,13.23,Has child,1 child,6.00,3.00,14.00,15.00,7.00,36.00
41,Postgraduate,Alone,42429.00,67.00,7.83,Has child,1 child,55.00,0.00,6.00,2.00,0.00,4.00
71,Postgraduate,Alone,48948.00,902.00,20.33,No child,No child,437.00,8.00,206.00,160.00,49.00,42.00
34,Postgraduate,In couple,80011.00,1395.00,17.43,Has child,1 child,421.00,76.00,536.00,82.00,178.00,102.00
29,Postgraduate,In couple,20559.00,53.00,19.03,Has child,1 child,13.00,1.00,29.00,3.00,0.00,7.00
57,Postgraduate,In couple,21994.00,22.00,21.63,Has child,1 child,9.00,0.00,6.00,3.00,1.00,3.00
39,Postgraduate,In couple,7500.00,31.00,12.23,Has child,1 child,3.00,1.00,10.00,3.00,2.00,12.00
38,Postgraduate,Alone,79941.00,984.00,3.27,No child,No child,123.00,164.00,266.00,227.00,30.00,174.00
18,Undergraduate,In couple,7500.00,122.00,23.13,No child,No child,3.00,18.00,14.00,15.00,22.00,50.00
46,Postgraduate,In couple,41728.00,55.00,16.60,Has child,1 child,13.00,6.00,15.00,3.00,5.00,13.00
60,Postgraduate,In couple,72550.00,1319.00,23.17,Has child,2 children,826.00,50.00,317.00,50.00,38.00,38.00
57,Postgraduate,Alone,65486.00,507.00,4.83,Has child,1 child,245.00,19.00,125.00,37.00,67.00,14.00
50,Postgraduate,In couple,79143.00,1693.00,26.13,No child,No child,650.00,37.00,780.00,27.00,167.00,32.00
37,Postgraduate,Alone,35790.00,72.00,21.33,Has child,1 child,12.00,6.00,20.00,30.00,1.00,3.00
37,Postgraduate,Alone,82582.00,1617.00,3.97,No child,No child,510.00,120.00,550.00,156.00,40.00,241.00
36,Postgraduate,In couple,66373.00,606.00,15.97,Has child,2 children,328.00,9.00,124.00,12.00,24.00,109.00
59,Postgraduate,In couple,82384.00,1957.00,22.80,No child,No child,984.00,51.00,432.00,180.00,120.00,190.00
48,Postgraduate,Alone,70287.00,1093.00,18.33,No child,No child,295.00,35.00,482.00,121.00,120.00,40.00
26,Postgraduate,Alone,27938.00,29.00,5.30,Has child,1 child,13.00,0.00,8.00,2.00,1.00,5.00
46,Postgraduate,In couple,55954.00,518.00,7.17,Has child,1 child,447.00,0.00,28.00,0.00,0.00,43.00
32,Postgraduate,Alone,75777.00,1438.00,15.23,No child,No child,712.00,26.00,538.00,69.00,13.00,80.00
39,Postgraduate,In couple,66653.00,612.00,25.23,Has child,2 children,452.00,18.00,102.00,16.00,18.00,6.00
62,Postgraduate,Alone,61823.00,884.00,19.77,Has child,1 child,523.00,7.00,134.00,37.00,14.00,169.00
63,Postgraduate,Alone,67680.00,606.00,16.00,Has child,1 child,546.00,0.00,48.00,0.00,6.00,6.00
66,Postgraduate,In couple,70666.00,1076.00,10.07,No child,No child,398.00,40.00,367.00,119.00,122.00,30.00
43,Postgraduate,In couple,25721.00,34.00,16.70,Has child,1 child,1.00,3.00,6.00,3.00,6.00,15.00
47,Postgraduate,In couple,32474.00,11.00,4.87,Has child,2 children,10.00,0.00,1.00,0.00,0.00,0.00
35,Undergraduate,Alone,88194.00,1274.00,6.63,Has child,1 child,688.00,14.00,309.00,201.00,24.00,38.00
56,Postgraduate,In couple,69096.00,653.00,12.40,Has child,1 child,247.00,49.00,159.00,7.00,82.00,109.00
44,Postgraduate,In couple,74854.00,1562.00,18.13,Has child,3 children,856.00,59.00,487.00,58.00,29.00,73.00
60,Postgraduate,In couple,66991.00,1253.00,25.10,No child,No child,496.00,36.00,460.00,189.00,60.00,12.00
55,Postgraduate,In couple,65031.00,863.00,18.87,Has child,1 child,258.00,107.00,291.00,84.00,37.00,86.00
39,Postgraduate,In couple,60631.00,661.00,18.23,Has child,2 children,565.00,6.00,65.00,0.00,6.00,19.00
62,Postgraduate,In couple,28332.00,65.00,5.23,No child,No child,14.00,10.00,13.00,4.00,15.00,9.00
37,Postgraduate,Alone,40246.00,13.00,21.80,Has child,1 child,2.00,1.00,6.00,2.00,1.00,1.00
42,Postgraduate,In couple,75251.00,1890.00,25.60,No child,No child,721.00,111.00,925.00,97.00,18.00,18.00
38,Postgraduate,Alone,75825.00,2209.00,24.07,No child,No child,1032.00,105.00,779.00,137.00,105.00,51.00
38,Undergraduate,In couple,26326.00,18.00,13.17,No child,No child,1.00,0.00,5.00,0.00,3.00,9.00
49,Postgraduate,In couple,56046.00,692.00,21.33,No child,No child,577.00,0.00,64.00,0.00,0.00,51.00
29,Postgraduate,Alone,29760.00,165.00,25.53,Has child,1 child,64.00,4.00,68.00,7.00,5.00,17.00
45,Postgraduate,In couple,26304.00,16.00,15.60,Has child,1 child,4.00,1.00,5.00,2.00,0.00,4.00
41,Undergraduate,In couple,23559.00,79.00,15.27,Has child,1 child,25.00,5.00,19.00,7.00,0.00,23.00
51,Postgraduate,In couple,38620.00,318.00,17.03,No child,No child,112.00,17.00,44.00,34.00,22.00,89.00
27,Postgraduate,Alone,81361.00,778.00,7.37,No child,No child,163.00,23.00,424.00,27.00,65.00,76.00
54,Postgraduate,In couple,29440.00,56.00,13.97,Has child,2 children,17.00,8.00,14.00,10.00,4.00,3.00
44,Postgraduate,In couple,36138.00,151.00,14.83,Has child,2 children,130.00,0.00,16.00,0.00,0.00,5.00
57,Postgraduate,Alone,50388.00,372.00,4.30,Has child,1 child,292.00,6.00,37.00,0.00,3.00,34.00
41,Postgraduate,In couple,79593.00,1366.00,4.83,No child,No child,350.00,60.00,568.00,110.00,133.00,145.00
47,Postgraduate,In couple,54178.00,194.00,8.53,Has child,1 child,135.00,9.00,39.00,4.00,0.00,7.00
42,Postgraduate,Alone,42394.00,32.00,6.50,Has child,1 child,15.00,2.00,10.00,0.00,1.00,4.00
44,Postgraduate,In couple,23626.00,43.00,4.43,Has child,1 child,27.00,2.00,14.00,0.00,0.00,0.00
31,Postgraduate,In couple,30096.00,45.00,4.50,Has child,1 child,5.00,3.00,11.00,12.00,5.00,9.00
54,Postgraduate,Alone,47916.00,606.00,22.70,Has child,1 child,505.00,0.00,26.00,0.00,0.00,75.00
42,Postgraduate,Alone,51813.00,63.00,18.03,Has child,2 children,51.00,2.00,7.00,0.00,1.00,2.00
63,Undergraduate,In couple,78497.00,978.00,10.23,No child,No child,207.00,26.00,447.00,75.00,0.00,223.00
31,Postgraduate,In couple,50150.00,410.00,15.70,No child,No child,135.00,46.00,92.00,65.00,61.00,11.00
54,Undergraduate,Alone,47823.00,72.00,14.60,Has child,1 child,53.00,1.00,5.00,2.00,1.00,10.00
55,Postgraduate,Alone,34554.00,55.00,6.27,Has child,1 child,41.00,1.00,6.00,2.00,0.00,5.00
35,Postgraduate,In couple,85693.00,1169.00,17.73,Has child,1 child,386.00,172.00,183.00,185.00,132.00,111.00
69,Postgraduate,In couple,65846.00,1120.00,16.83,No child,No child,562.00,81.00,276.00,80.00,40.00,81.00
55,Postgraduate,In couple,87195.00,1097.00,4.97,No child,No child,217.00,76.00,690.00,50.00,26.00,38.00
35,Undergraduate,In couple,24594.00,29.00,9.93,Has child,1 child,1.00,3.00,6.00,10.00,0.00,9.00
50,Postgraduate,In couple,49096.00,187.00,12.50,Has child,2 children,144.00,1.00,32.00,2.00,1.00,7.00
45,Postgraduate,In couple,52413.00,910.00,20.30,Has child,2 children,295.00,106.00,271.00,75.00,98.00,65.00
36,Postgraduate,Alone,38557.00,145.00,21.80,Has child,1 child,76.00,3.00,31.00,4.00,4.00,27.00
54,Postgraduate,In couple,89058.00,850.00,22.20,No child,No child,454.00,194.00,106.00,31.00,22.00,43.00
35,Postgraduate,In couple,77298.00,969.00,11.20,Has child,1 child,425.00,115.00,292.00,23.00,35.00,79.00
23,Postgraduate,Alone,68126.00,1820.00,23.10,No child,No child,1332.00,17.00,311.00,23.00,51.00,86.00
